oftic,TICKER,CUSIP,CNAME,STATPERS,MEASURE,FPI,MEANEST,STDEV,FPEDATS,ACTUAL,ANNDATS_ACT
PEP,PEP,71344810,PEPSICO,2015-12-17,EPS,6,1.06,0.02,2015-12-31,1.06,2016-02-11
PEP,PEP,71344810,PEPSICO,2016-01-14,EPS,6,1.06,0.02,2015-12-31,1.06,2016-02-11
PEP,PEP,71344810,PEPSICO,2016-02-18,EPS,6,0.81,0.02,2016-03-31,0.89,2016-04-18
PEP,PEP,71344810,PEPSICO,2016-03-17,EPS,6,0.81,0.02,2016-03-31,0.89,2016-04-18
PEP,PEP,71344810,PEPSICO,2016-04-14,EPS,6,0.81,0.02,2016-03-31,0.89,2016-04-18
PEP,PEP,71344810,PEPSICO,2016-05-19,EPS,6,1.29,0.04,2016-06-30,1.35,2016-07-07
PEP,PEP,71344810,PEPSICO,2016-06-16,EPS,6,1.29,0.04,2016-06-30,1.35,2016-07-07
PEP,PEP,71344810,PEPSICO,2016-07-14,EPS,6,1.31,0.02,2016-09-30,1.4,2016-09-29
PEP,PEP,71344810,PEPSICO,2016-08-18,EPS,6,1.31,0.02,2016-09-30,1.4,2016-09-29
PEP,PEP,71344810,PEPSICO,2016-09-15,EPS,6,1.31,0.02,2016-09-30,1.4,2016-09-29
PEP,PEP,71344810,PEPSICO,2016-10-20,EPS,6,1.16,0.02,2016-12-31,1.2,2017-02-15
PEP,PEP,71344810,PEPSICO,2016-11-17,EPS,6,1.16,0.02,2016-12-31,1.2,2017-02-15
PEP,PEP,71344810,PEPSICO,2016-12-15,EPS,6,1.16,0.02,2016-12-31,1.2,2017-02-15
PEP,PEP,71344810,PEPSICO,2017-01-19,EPS,6,1.16,0.02,2016-12-31,1.2,2017-02-15
PEP,PEP,71344810,PEPSICO,2017-02-16,EPS,6,0.91,0.03,2017-03-31,0.94,2017-04-26
PEP,PEP,71344810,PEPSICO,2017-03-16,EPS,6,0.91,0.02,2017-03-31,0.94,2017-04-26
PEP,PEP,71344810,PEPSICO,2017-04-20,EPS,6,0.91,0.02,2017-03-31,0.94,2017-04-26
PEP,PEP,71344810,PEPSICO,2017-05-18,EPS,6,1.4,0.03,2017-06-30,1.44,2017-07-11
PEP,PEP,71344810,PEPSICO,2017-06-15,EPS,6,1.4,0.03,2017-06-30,1.44,2017-07-11
PEP,PEP,71344810,PEPSICO,2017-07-20,EPS,6,1.43,0.03,2017-09-30,1.48,2017-10-04
PEP,PEP,71344810,PEPSICO,2017-08-17,EPS,6,1.43,0.03,2017-09-30,1.48,2017-10-04
PEP,PEP,71344810,PEPSICO,2017-09-14,EPS,6,1.43,0.03,2017-09-30,1.48,2017-10-04
PEP,PEP,71344810,PEPSICO,2017-10-19,EPS,6,1.3,0.02,2017-12-31,1.31,2018-02-13
PEP,PEP,71344810,PEPSICO,2017-11-16,EPS,6,1.3,0.02,2017-12-31,1.31,2018-02-13
PEP,PEP,71344810,PEPSICO,2017-12-14,EPS,6,1.3,0.02,2017-12-31,1.31,2018-02-13
PEP,PEP,71344810,PEPSICO,2018-01-18,EPS,6,1.3,0.02,2017-12-31,1.31,2018-02-13
PEP,PEP,71344810,PEPSICO,2018-02-15,EPS,6,0.95,0.04,2018-03-31,0.96,2018-04-26
PEP,PEP,71344810,PEPSICO,2018-03-15,EPS,6,0.93,0.02,2018-03-31,0.96,2018-04-26
PEP,PEP,71344810,PEPSICO,2018-04-19,EPS,6,0.93,0.02,2018-03-31,0.96,2018-04-26
PEP,PEP,71344810,PEPSICO,2018-05-17,EPS,6,1.53,0.03,2018-06-30,1.61,2018-07-10
PEP,PEP,71344810,PEPSICO,2018-06-14,EPS,6,1.53,0.03,2018-06-30,1.61,2018-07-10
PEP,PEP,71344810,PEPSICO,2018-07-19,EPS,6,1.58,0.03,2018-09-30,1.59,2018-10-02
PEP,PEP,71344810,PEPSICO,2018-08-16,EPS,6,1.58,0.03,2018-09-30,1.59,2018-10-02
PEP,PEP,71344810,PEPSICO,2018-09-20,EPS,6,1.58,0.03,2018-09-30,1.59,2018-10-02
PEP,PEP,71344810,PEPSICO,2018-10-18,EPS,6,1.49,0.01,2018-12-31,1.49,2019-02-15
PEP,PEP,71344810,PEPSICO,2018-11-15,EPS,6,1.49,0.01,2018-12-31,1.49,2019-02-15
PEP,PEP,71344810,PEPSICO,2018-12-20,EPS,6,1.49,0.01,2018-12-31,1.49,2019-02-15
PEP,PEP,71344810,PEPSICO,2019-01-17,EPS,6,1.49,0.01,2018-12-31,1.49,2019-02-15
PEP,PEP,71344810,PEPSICO,2019-02-14,EPS,6,1.49,0.01,2018-12-31,1.49,2019-02-15
PEP,PEP,71344810,PEPSICO,2019-03-14,EPS,6,0.92,0.03,2019-03-31,0.97,2019-04-17
PEP,PEP,71344810,PEPSICO,2019-04-18,EPS,6,1.5,0.03,2019-06-30,1.54,2019-07-09
PEP,PEP,71344810,PEPSICO,2019-05-16,EPS,6,1.5,0.03,2019-06-30,1.54,2019-07-09
PEP,PEP,71344810,PEPSICO,2019-06-20,EPS,6,1.5,0.03,2019-06-30,1.54,2019-07-09
PEP,PEP,71344810,PEPSICO,2019-07-18,EPS,6,1.51,0.02,2019-09-30,1.56,2019-10-03
PEP,PEP,71344810,PEPSICO,2019-08-15,EPS,6,1.51,0.02,2019-09-30,1.56,2019-10-03
PEP,PEP,71344810,PEPSICO,2019-09-19,EPS,6,1.5,0.01,2019-09-30,1.56,2019-10-03
PEP,PEP,71344810,PEPSICO,2019-10-17,EPS,6,1.44,0.01,2019-12-31,1.45,2020-02-13
PEP,PEP,71344810,PEPSICO,2019-11-14,EPS,6,1.44,0.01,2019-12-31,1.45,2020-02-13
PEP,PEP,71344810,PEPSICO,2019-12-19,EPS,6,1.44,0.01,2019-12-31,1.45,2020-02-13
PEP,PEP,71344810,PEPSICO,2020-01-16,EPS,6,1.44,0.01,2019-12-31,1.45,2020-02-13
PEP,PEP,71344810,PEPSICO,2020-02-20,EPS,6,1.02,0.02,2020-03-31,1.07,2020-04-28
PEP,PEP,71344810,PEPSICO,2020-03-19,EPS,6,1.02,0.02,2020-03-31,1.07,2020-04-28
PEP,PEP,71344810,PEPSICO,2020-04-16,EPS,6,1.03,0.02,2020-03-31,1.07,2020-04-28
PEP,PEP,71344810,PEPSICO,2020-05-14,EPS,6,1.25,0.02,2020-06-30,1.32,2020-07-13
PEP,PEP,71344810,PEPSICO,2020-06-18,EPS,6,1.25,0.02,2020-06-30,1.32,2020-07-13
PEP,PEP,71344810,PEPSICO,2020-07-16,EPS,6,1.48,0.02,2020-09-30,1.66,2020-10-01
PEP,PEP,71344810,PEPSICO,2020-08-20,EPS,6,1.48,0.02,2020-09-30,1.66,2020-10-01
PEP,PEP,71344810,PEPSICO,2020-09-17,EPS,6,1.48,0.02,2020-09-30,1.66,2020-10-01
PEP,PEP,71344810,PEPSICO,2020-10-15,EPS,6,1.45,0.01,2020-12-31,1.47,2021-02-11
PEP,PEP,71344810,PEPSICO,2020-11-19,EPS,6,1.45,0.01,2020-12-31,1.47,2021-02-11
PEP,PEP,71344810,PEPSICO,2020-12-17,EPS,6,1.45,0.01,2020-12-31,1.47,2021-02-11
PEP,PEP,71344810,PEPSICO,2021-01-14,EPS,6,1.46,0.01,2020-12-31,1.47,2021-02-11
PEP,PEP,71344810,PEPSICO,2021-02-18,EPS,6,1.12,0.03,2021-03-31,1.21,2021-04-15
